date,variant
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-14,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-15,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-16,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
2021-04-17,original
