age,start,end,duration
77,restaurant,restaurant,5
77,restaurant,restaurant,15
77,restaurant,workplace,136
77,workplace,restaurant,30
77,restaurant,worship,75
77,worship,outdoor,15
77,outdoor,outdoor,45
77,outdoor,outdoor,15
77,outdoor,restaurant,180
77,restaurant,outdoor,15
77,outdoor,restaurant,30
77,restaurant,restaurant,20
77,restaurant,worship,20
77,worship,house,20
78,house,outdoor,5
78,outdoor,outdoor,60
78,outdoor,outdoor,60
78,outdoor,worship,90
78,worship,outdoor,8
78,outdoor,outdoor,55
78,outdoor,restaurant,60
78,restaurant,outdoor,145
78,outdoor,grocery,60
78,grocery,grocery,60
78,grocery,restaurant,30
78,restaurant,outdoor,20
78,outdoor,outdoor,20
78,outdoor,outdoor,152
78,outdoor,grocery,30
78,grocery,house,30
79,house,restaurant,10
79,restaurant,outdoor,30
79,outdoor,outdoor,90
79,outdoor,outdoor,40
79,outdoor,outdoor,60
79,outdoor,outdoor,10
79,outdoor,worship,70
79,worship,restaurant,120
79,restaurant,restaurant,60
79,restaurant,restaurant,60
79,restaurant,grocery,25
79,grocery,restaurant,55
79,restaurant,outdoor,15
79,outdoor,restaurant,75
79,restaurant,outdoor,60
79,outdoor,outdoor,30
79,outdoor,house,30
80,house,restaurant,20
80,restaurant,restaurant,420
80,restaurant,restaurant,15
80,restaurant,outdoor,30
80,outdoor,outdoor,2
80,outdoor,restaurant,60
80,restaurant,outdoor,15
80,outdoor,restaurant,220
80,restaurant,outdoor,15
80,outdoor,outdoor,5
80,outdoor,outdoor,25
80,outdoor,outdoor,10
80,outdoor,outdoor,15
80,outdoor,house,15
3,house,school,360
3,school,house,1079
4,house,school,360
4,school,house,1079
5,house,school,360
5,school,house,1079
6,house,school,360
6,school,house,1079
7,house,school,360
7,school,house,1079
8,house,school,360
8,school,house,1079
9,house,school,360
9,school,house,1079
10,house,school,360
10,school,house,1079
11,house,school,360
11,school,house,1079
12,house,school,360
12,school,house,1079
13,house,school,360
13,school,house,1079
14,house,school,360
14,school,house,1079
81,house,outdoor,240
81,outdoor,house,1199
82,house,outdoor,240
82,outdoor,house,1199
83,house,outdoor,240
83,outdoor,house,1199
84,house,outdoor,240
84,outdoor,house,1199
85,house,outdoor,240
85,outdoor,house,1199
86,house,outdoor,240
86,outdoor,house,1199
87,house,outdoor,240
87,outdoor,house,1199
88,house,outdoor,240
88,outdoor,house,1199
89,house,outdoor,240
89,outdoor,house,1199
90,house,outdoor,240
90,outdoor,house,1199
91,house,outdoor,240
91,outdoor,house,1199
92,house,outdoor,240
92,outdoor,house,1199
93,house,outdoor,240
93,outdoor,house,1199
94,house,outdoor,240
94,outdoor,house,1199
95,house,outdoor,240
95,outdoor,house,1199
96,house,outdoor,240
96,outdoor,house,1199
97,house,outdoor,240
97,outdoor,house,1199
98,house,outdoor,240
98,outdoor,house,1199
99,house,outdoor,240
99,outdoor,house,1199
